Price,Brand,Model,Version,Year,Milleage,Doors,Fuel,Shield,Color,Transmision,Direction,Traction,Only owner,Motor,Cylinders
29.000.000,Renault,Sandero,Authentique,2018,24.365 km,5,Gasolina,***-**5,GrisComet,Mecánica,Asistida,4x2,Sí,nan,nan
17.600.000,Renault,Sandero,Sandero,2012,88.000 km,4,Gasolina,Djn668,nan,Mecánica,nan,nan,nan,nan,nan
41.500.000,Renault,Sandero,SANDERO RS 2.0 SPORT,2018,4.500 km,5,Gasolina,EPS202,nan,Mecánica,nan,nan,nan,nan,nan
23.500.000,Renault,Sandero,Automático con gas,2012,41.000 km,4,Gasolina,DJO806,nan,Automática,Hidráulica,nan,nan,nan,nan
29.800.000,Renault,Sandero,LIFE,2018,18.000 km,5,Gasolina,DST 517,nan,Mecánica,Hidráulica,nan,nan,nan,nan
22.900.000,Renault,Sandero,SANDERO EXPRESSION,2014,83000 km,5,Gasolina,HGU910,PLATA,Mecánica,Hidráulica,4x2,nan,nan,nan
24.800.000,Renault,Sandero,Gt line,2016,41.400 km,4,Gasolina,Hqo568,nan,Mecánica,nan,nan,nan,nan,nan
37.900.000,Renault,Sandero,Sandero intens,2018,17.000 km,5,Gasolina,jkp367,azulpersan,Automática,Hidráulica,4x2,nan,nan,nan
25.500.000,Renault,Sandero,Dinamique AT 16v FE,2014,77.000 km,4,Gasolina,Hnu730,nan,Automática,nan,nan,nan,nan,nan
35.470.000,Renault,Sandero,Sandero Life,2020,0 km,5,Gasolina,000XXX,RojoFuego,Mecánica,Hidráulica,4x2,nan,nan,nan
19.500.000,Renault,Sandero,expression,2012,84.000 km,5,Gasolina,DHV390,Gris,Mecánica,Hidráulica,4x2,nan,nan,nan
29.500.000,Renault,Sandero,sandero,2018,59.000 km,4,Gasolina,JKM702,Gris,Manual,Hidráulica,nan,nan,1.600,nan
20.500.000,Renault,Sandero,Expresion,2014,87.600 km,5,Gasolina,Aaa 222,nan,Mecánica,nan,nan,nan,nan,nan
18.000.000,Renault,Sandero,dynamic,2009,100.000 km,5,Gasolina,6,nan,Mecánica,nan,nan,nan,nan,nan
37.800.000,Renault,Sandero,nan,2017,25.000 km,nan,Gasolina,EFU292,Gris,Manual,Hidráulica,nan,nan,2000,4
23.900.000,Renault,Sandero,sandero automático,2015,170.000 km,5,Gasolina,IAW155,nan,Automática,nan,nan,nan,nan,nan
